modification,parent,index,visited_children,walls,special_cells,leaf,sum_reward,count,layer
,,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,20.03333333333333,50,0
2,0,1,[],"[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]",[],True,0.019999999999999574,2,1
11,0,2,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 0)]",True,0.27333333333333343,2,1
13,0,3,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 3)]",True,1.820000000000002,3,1
12,0,4,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0)]",True,0.27333333333333343,2,1
1,0,5,[],"[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]",[],True,0.019999999999999574,2,1
3,0,6,[],"[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],True,3.586666666666666,4,1
17,0,7,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3)]",True,0.27333333333333343,2,1
9,0,8,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0)]",True,0,2,1
10,0,9,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3)]",True,0.5599999999999987,2,1
6,0,10,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1)]",True,3.6400000000000006,4,1
5,0,11,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]",[],True,0.10000000000000142,2,1
7,0,12,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2)]",True,3.4399999999999977,4,1
4,0,13,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]",[],True,0.10000000000000142,2,1
18,0,14,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 2)]",True,0,2,1
0,0,15,[],"[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],True,1.3899999999999988,3,1
19,0,16,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 4)]",True,0.086666666666666,2,1
14,0,17,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4)]",True,0.4800000000000004,2,1
16,0,18,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 2)]",True,1.629999999999999,3,1
15,0,19,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1)]",True,1.6599999999999984,3,1
8,0,20,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 3)]",True,0.6799999999999997,2,1
