modification,parent,index,visited_children,walls,special_cells,leaf,sum_reward,count,layer
,,0,"[1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,157.8233333333334,200,0
8,0,1,"[2, 46, 69, 91, 115, 140, 152, 156]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 3)]",False,4.66,8,1
12,1,2,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 3), (1, 3)]",True,0.6066666666666674,1,2
3,0,3,"[4, 41, 52, 63, 72, 77, 84, 92, 101, 105, 114, 123, 124, 132, 138, 145]","[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,36.92000000000001,29,1
10,3,4,[],"[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3)]",True,2.4933333333333323,2,2
0,0,5,"[6, 40, 56, 64, 83, 96, 100, 110, 126, 143, 147, 150, 157]","[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,11.52333333333333,13,1
16,5,6,[],"[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 2)]",True,1.373333333333333,1,2
2,0,7,"[8, 45, 76, 108, 146, 160]","[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]",[],False,1.456666666666667,6,1
16,7,8,[],"[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]","[(1, 2)]",True,0.6233333333333331,1,2
6,0,9,"[10, 42, 60, 66, 74, 78, 86, 98, 104, 111, 122, 128, 134]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1)]",False,27.326666666666664,23,1
15,9,10,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1), (1, 1)]",True,2.086666666666666,2,2
4,0,11,"[12, 54, 81, 116, 117, 118, 129, 137, 151, 159]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]",[],False,5.720000000000001,10,1
14,11,12,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(1, 0)]",True,0.25666666666666593,1,2
9,0,13,"[14, 49, 70, 103, 136, 149]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0)]",False,2.08,6,1
16,13,14,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0), (1, 2)]",True,0.543333333333333,1,2
14,0,15,"[16, 57, 85, 119, 130]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0)]",False,3.2433333333333323,7,1
17,15,16,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0), (0, 1)]",True,0.1466666666666665,1,2
10,0,17,"[18, 50, 75, 90, 112, 133, 154]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3)]",False,3.5333333333333314,7,1
14,17,18,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3), (1, 0)]",True,0.48666666666666636,1,2
18,0,19,[20],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3)]",False,0.7333333333333325,5,1
19,19,20,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3), (0, 2)]",True,0.7333333333333325,5,2
12,0,21,"[22, 47, 68, 87, 95, 109, 127]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 3)]",False,8.680000000000001,11,1
18,21,22,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 3), (0, 3)]",True,0.6066666666666674,1,2
5,0,23,"[24, 44, 73, 99, 131, 148, 158]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]",[],False,2.956666666666667,7,1
15,23,24,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]","[(1, 1)]",True,0.6733333333333338,1,2
13,0,25,"[26, 55, 67, 94, 121, 141]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4)]",False,4.226666666666667,8,1
19,25,26,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4), (0, 2)]",True,0.25,1,2
15,0,27,"[28, 48, 61, 80]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1)]",False,9.743333333333327,12,1
17,27,28,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1), (0, 1)]",True,1.1066666666666656,2,2
