modification,parent,index,visited_children,walls,special_cells,leaf,sum_reward,count,layer
,,0,"[1, 4, 7, 10, 13, 14, 17, 20, 21, 24, 27, 30, 33, 36, 39, 42, 45, 48]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,543.5333333333331,700,0
10,0,1,"[2, 60, 100, 139, 172, 213, 247, 293]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3)]",False,5.136666666666667,16,1
12,1,2,"[3, 367]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3), (1, 0)]",False,0.8566666666666674,2,2
14,2,3,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3), (1, 0), (1, 3)]",True,0.5600000000000005,1,3
5,0,4,"[5, 65, 117, 162, 164, 204, 239, 280, 307, 339, 381, 414, 452]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]",[],False,6.3633333333333315,18,1
16,4,5,[6],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]","[(2, 4)]",False,0.28666666666666707,1,2
18,5,6,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]","[(2, 4), (1, 1)]",True,0.28666666666666707,1,3
12,0,7,"[8, 74, 112, 166, 217, 264]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0)]",False,3.886666666666663,14,1
16,7,8,"[9, 469]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0), (2, 4)]",False,0.16666666666666607,2,2
18,8,9,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0), (2, 4), (1, 1)]",True,0.16666666666666607,1,3
4,0,10,"[11, 59, 106, 146, 170, 208, 225, 268, 278, 310, 336, 366, 400, 438]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]",[],False,8.396666666666668,21,1
6,10,11,"[12, 515]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(2, 1)]",False,1.123333333333333,2,2
9,11,12,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]","[(2, 1), (2, 3)]",True,0.6333333333333329,1,3
2,0,13,"[76, 129, 152, 198, 243, 276, 313, 331, 377, 409, 461, 499, 558, 560, 573]","[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]",[],False,5.193333333333335,16,1
