modification,parent,index,visited_children,walls,special_cells,leaf,sum_reward,count,layer
,,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 33, 34, 35]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,470.4399999999999,1000,0
7,0,1,"[52, 97, 144, 204, 263, 334, 390, 467, 549, 551, 629, 631, 648, 744, 795, 931]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 1)]",False,1.886666666666665,17,1
2,0,2,"[53, 98, 145, 176, 237, 293, 365, 397, 463, 526, 610, 612, 613, 670, 755, 884, 886, 887]","[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]",[],False,3.1766666666666676,19,1
16,0,3,"[42, 81, 128, 172, 197, 247, 307, 372, 439, 501, 505, 587, 676]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0)]",False,2.466666666666665,17,1
9,0,4,"[46, 85, 113, 134, 182, 229, 274, 276, 277, 314, 318, 366, 396, 448, 480, 512, 514, 554, 607, 658]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3)]",False,9.61,32,1
24,0,5,"[54, 99, 146, 205, 264]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3)]",False,0,12,1
27,0,6,"[55, 100]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(4, 1)]",False,0,12,1
19,0,7,"[56, 101, 148, 191, 248, 316, 379, 452, 522, 589]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 3)]",False,0.8433333333333355,14,1
6,0,8,"[57, 94, 142, 198, 261, 328, 404, 454, 523, 618, 731, 782]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 0)]",False,0.5800000000000001,13,1
12,0,9,"[51, 90, 130, 173, 228, 259, 291, 310, 321, 355, 357, 380, 418, 420, 422, 424, 425]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1)]",False,30.25,60,1
22,0,10,"[58, 102, 149, 207, 265, 337, 409]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 1)]",False,0,12,1
0,0,11,"[12, 36, 70, 83, 116, 126, 136, 138, 157, 166, 174, 183, 185, 194, 218, 220, 230, 233, 243, 253, 256, 270, 282, 285, 287, 299, 306, 319, 324]","[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,172.73666666666674,207,1
8,11,12,"[13, 364, 544, 639, 722, 806, 890]","[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 2)]",False,5.886666666666665,7,2
13,12,13,[],"[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 2), (1, 2)]",True,1.0500000000000007,1,3
8,0,14,"[59, 103, 150, 180, 239, 298, 370, 440, 509, 603, 712, 834, 836, 837]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 2)]",False,1.1500000000000004,15,1
1,0,15,"[16, 38, 74, 114, 121, 140, 171, 215, 238, 260, 304, 329, 331, 361, 363, 392, 394, 402, 441, 443, 445, 447, 470, 489, 491, 493, 494, 507]","[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,22.93,49,1
17,15,16,"[17, 627]","[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1)]",False,1.7100000000000009,2,2
27,16,17,[],"[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1), (4, 1)]",True,0.6866666666666674,1,3
13,0,18,"[45, 80, 120, 160, 178, 188, 190, 217, 245, 273, 305, 343, 384, 426, 455, 487]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 2)]",False,9.379999999999995,28,1
17,0,19,"[43, 73, 92, 124, 132, 164, 177, 200, 232, 251, 278, 289]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1)]",False,26.473333333333333,44,1
26,0,20,"[60, 104, 151]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(4, 0)]",False,0,12,1
18,0,21,"[40, 75, 111, 122, 159, 181, 216, 240, 250, 280, 312]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2)]",False,18.493333333333332,35,1
28,0,22,[61],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(4, 2)]",False,0,12,1
10,0,23,"[47, 87, 131, 169, 222, 224, 226, 227, 249, 290, 326, 369, 406, 460, 462, 477, 524, 580, 582]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 4)]",False,9.326666666666668,31,1
11,0,24,"[62, 106, 152, 209, 211, 236, 281, 327, 358, 367, 417, 471, 519, 595, 665, 754, 827]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0)]",False,2.8566666666666674,18,1
3,0,25,"[63, 107, 153, 192, 221, 272, 322, 391, 465, 536, 619, 682, 762, 811, 813, 814, 845, 847, 848, 849, 898, 900]","[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]",[],False,4.813333333333336,23,1
5,0,26,"[64, 77, 91, 129, 168, 202, 246, 301, 303, 308, 354, 400, 456, 498, 557, 583, 647, 708, 773, 893]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]",[],False,3.763333333333332,21,1
25,0,27,"[66, 108, 154, 212]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 4)]",False,0,12,1
23,0,28,"[67, 109, 155, 213, 268, 340]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 2)]",False,0,12,1
20,0,29,"[68, 110, 156, 214, 269, 341, 412, 486, 578]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 4)]",False,0,12,1
