modification,parent,index,visited_children,walls,special_cells,leaf,sum_reward,count,layer
,,0,"[1, 2, 3, 5, 6, 8, 9, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 26, 27, 28, 30, 31, 32, 33, 35, 36, 37, 39]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,104.0533333333334,200,0
26,0,1,"[69, 116, 172]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(4, 0)]",False,0.023333333333333428,4,1
7,0,2,"[70, 102, 155, 157, 204]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 1)]",False,1.3466666666666658,6,1
6,0,3,"[4, 50, 85, 100, 134, 170]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 0)]",False,2.3800000000000026,6,1
19,3,4,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 0), (2, 3)]",True,0.5266666666666673,1,2
10,0,5,"[55, 92, 117, 142, 180, 193]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 4)]",False,3.3066666666666684,7,1
14,0,6,"[7, 45, 75, 77, 93, 97, 122, 133, 146, 167, 183, 199]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 3)]",False,9.93666666666667,12,1
21,6,7,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 3), (3, 0)]",True,0.8133333333333326,1,2
25,0,8,"[61, 106, 156]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 4)]",False,0.5066666666666677,4,1
11,0,9,"[10, 46, 78, 118, 152, 182]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0)]",False,2.4700000000000006,6,1
13,9,10,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0), (1, 2)]",True,0.75,1,2
24,0,11,"[54, 88, 135, 178]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 3)]",False,1.4600000000000009,5,1
12,0,12,"[13, 47, 76, 107, 108, 123, 137, 143, 162, 169, 186, 203]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1)]",False,9.959999999999999,12,1
25,12,13,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1), (3, 4)]",True,0.7166666666666668,1,2
4,0,14,"[51, 87, 139, 191]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 6)]",[],False,0.9299999999999997,5,1
15,0,15,"[56, 90, 96, 127, 164, 195]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 4)]",False,3.336666666666668,7,1
3,0,16,"[60, 89, 130, 177]","[(1, 4), (2, 4), (4, 2), (5, 2), (5, 6)]",[],False,1.5466666666666686,5,1
20,0,17,"[62, 98, 150]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 4)]",False,0.5,4,1
0,0,18,"[19, 41, 71, 82, 86, 104, 121, 132, 144, 158, 171, 181, 185, 196, 197, 206]","[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,17.560000000000002,16,1
10,18,19,[],"[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 4)]",True,1.083333333333334,1,2
5,0,20,"[52, 94, 138, 190]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2)]",[],False,0.9499999999999993,5,1
29,0,21,[64],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(4, 3)]",False,0.173333333333332,4,1
2,0,22,"[68, 111, 131, 154, 200]","[(1, 4), (2, 4), (4, 6), (5, 2), (5, 6)]",[],False,1.6166666666666654,6,1
21,0,23,"[57, 91, 140, 176]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 0)]",False,1.4033333333333342,5,1
1,0,24,"[25, 49, 81, 113, 114, 136, 159, 174, 192]","[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]",[],False,6.296666666666665,9,1
11,24,25,[],"[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0)]",True,0.5666666666666664,1,2
8,0,26,"[67, 115, 165]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 2)]",False,0.35666666666666735,4,1
23,0,27,"[58, 105, 151]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 2)]",False,0.47666666666666657,4,1
17,0,28,"[29, 42, 72, 83, 101, 119, 128, 141, 149, 166, 175, 184, 198]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1)]",False,13.416666666666666,13,1
26,28,29,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1), (4, 0)]",True,0.9100000000000001,1,2
22,0,30,"[59, 103, 153, 188]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(3, 1)]",False,0.8233333333333341,5,1
27,0,31,"[65, 109, 168]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(4, 1)]",False,0.086666666666666,4,1
16,0,32,"[63, 110, 147, 201]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0)]",False,0.5466666666666669,5,1
13,0,33,"[34, 43, 74, 95, 126, 148, 173, 194, 205]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 2)]",False,6.503333333333332,9,1
24,33,34,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 2), (3, 3)]",True,0.8933333333333326,1,2
19,0,35,"[53, 84, 125, 160, 187]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 3)]",False,2.5566666666666666,6,1
28,0,36,"[66, 112]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(4, 2)]",False,0.129999999999999,4,1
9,0,37,"[38, 48, 79, 124, 161, 202]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3)]",False,1.9233333333333338,6,1
13,37,38,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3), (1, 2)]",True,0.5833333333333339,1,2
18,0,39,"[40, 44, 73, 80, 99, 120, 129, 145, 163, 179, 189, 207]","[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2)]",False,11.530000000000001,12,1
28,39,40,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2), (4, 2)]",True,0.8699999999999992,1,2
16,18,41,[],"[(2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 0)]",True,1.0099999999999998,1,2
19,28,42,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 1), (2, 3)]",True,1.0533333333333328,1,2
23,33,43,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 2), (3, 2)]",True,0.6233333333333331,1,2
19,39,44,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(2, 2), (2, 3)]",True,0.9733333333333327,1,2
19,6,45,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 3), (2, 3)]",True,0.5233333333333334,1,2
12,9,46,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 0), (1, 1)]",True,0.3866666666666667,1,2
16,12,47,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(1, 1), (2, 0)]",True,0.5533333333333328,1,2
24,37,48,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 3), (3, 3)]",True,0.48666666666666636,1,2
27,24,49,[],"[(1, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(4, 1)]",True,0.4833333333333325,1,2
20,3,50,[],"[(1, 4), (2, 4), (4, 2), (4, 6), (5, 2), (5, 6)]","[(0, 0), (2, 4)]",True,0.23000000000000043,1,2
